tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location,cluster
2021-09-01,79,118.0,55,16,32,38,118,PM25,TIDAK SEHAT,DKI4,0
2021-09-02,66,115.0,52,15,39,28,115,PM25,TIDAK SEHAT,DKI4,0
2021-09-03,66,111.0,51,11,45,30,111,PM25,TIDAK SEHAT,DKI4,0
2021-09-04,62,93.0,50,10,37,28,93,PM25,SEDANG,DKI4,1
2021-09-05,74,120.0,52,12,36,28,120,PM25,TIDAK SEHAT,DKI4,0
2021-09-06,73,109.0,51,13,34,24,109,PM25,TIDAK SEHAT,DKI4,0
2021-09-07,60,86.0,51,11,27,24,86,PM25,SEDANG,DKI4,1
2021-09-08,64,106.0,52,16,29,34,106,PM25,TIDAK SEHAT,DKI4,0
2021-09-09,68,88.0,54,12,35,31,88,PM25,SEDANG,DKI2,0
2021-09-10,58,80.0,53,10,39,32,80,PM25,SEDANG,DKI4,1
2021-09-11,70,109.0,53,12,46,41,109,PM25,TIDAK SEHAT,DKI4,0
2021-09-12,66,111.0,51,10,36,27,111,PM25,TIDAK SEHAT,DKI4,0
2021-09-13,56,88.0,52,9,27,21,88,PM25,SEDANG,DKI4,1
2021-09-14,36,61.0,50,8,47,19,61,PM25,SEDANG,DKI4,1
2021-09-15,69,110.0,54,20,45,45,110,PM25,TIDAK SEHAT,DKI4,0
2021-09-16,53,89.0,52,10,52,24,89,PM25,SEDANG,DKI4,1
2021-09-17,50,85.0,51,7,53,20,85,PM25,SEDANG,DKI4,1
2021-09-18,57,101.0,53,9,51,22,101,PM25,TIDAK SEHAT,DKI4,1
2021-09-19,56,83.0,50,10,68,19,83,PM25,SEDANG,DKI5,1
2021-09-20,58,81.0,52,11,54,34,81,PM25,SEDANG,DKI2,1
2021-09-21,61,99.0,52,11,58,36,99,PM25,SEDANG,DKI4,0
2021-09-22,64,119.0,54,14,48,32,119,PM25,TIDAK SEHAT,DKI4,0
2021-09-23,61,116.0,53,10,53,22,116,PM25,TIDAK SEHAT,DKI4,0
2021-09-24,57,109.0,53,8,47,26,109,PM25,TIDAK SEHAT,DKI4,0
2021-09-25,55,102.0,52,11,50,20,102,PM25,TIDAK SEHAT,DKI4,1
2021-09-26,56,98.0,50,10,54,19,98,PM25,SEDANG,DKI4,1
2021-09-27,53,89.0,49,12,47,33,89,PM25,SEDANG,DKI4,1
2021-09-28,49,71.0,49,10,49,28,71,PM25,SEDANG,DKI2,1
2021-09-29,61,102.0,57,13,63,38,102,PM25,TIDAK SEHAT,DKI4,0
2021-09-30,71,117.0,63,16,63,37,117,PM25,TIDAK SEHAT,DKI4,0
2021-10-01,58,91.0,59,11,65,38,91,PM25,SEDANG,DKI4,0
2021-10-02,70,127.0,61,12,58,35,127,PM25,TIDAK SEHAT,DKI4,0
2021-10-03,70,96.0,62,11,53,28,96,PM25,SEDANG,DKI4,0
2021-10-04,62,110.0,60,11,64,29,110,PM25,TIDAK SEHAT,DKI4,0
2021-10-05,65,90.0,67,11,54,33,90,PM25,SEDANG,DKI2,0
2021-10-06,66,103.0,66,10,58,35,103,PM25,TIDAK SEHAT,DKI4,0
2021-10-07,52,77.0,60,9,50,28,77,PM25,SEDANG,DKI4,1
2021-10-08,60,98.0,64,11,54,35,98,PM25,SEDANG,DKI4,0
2021-10-09,55,83.0,62,9,60,29,83,PM25,SEDANG,DKI4,1
2021-10-10,61,97.0,61,9,72,26,97,PM25,SEDANG,DKI4,0
